airline_sentiment,text
negative,exhaustion traveling n runnin thru airport tryin rent car n killin family anybody road
negative,offering give bag usually force passenger state shock
negative,power trip felt completely threatened unsafe angry derrick bussey dca would like reiterate
negative,thank putting flight leaving late flightr original flight booked
neutral,would willing give benefit doubt say misunderstood went
positive,look flying rock time bird plane nah never mind rock
neutral,doesnt take account cost rent car drive home
negative,even single unreasonable human planet earth excuse treatment
negative,supposed business belong customer humiliating
negative,way treat woman want someone contact explain make acceptable
negative,citizen fly airline constantly offended derrick bussey im cry airplane im upset
negative,really know leave someone stranded funeral prop guy really making perfect monday
negative,friend telling gate attendant stewardess going notourfaultyoudontuseyourgatesright
neutral,allowed carry suit bag carry bag suit bag hang like jacket would soft sided
positive,owes tammy winstonsalem call center keeping customer
negative,jetway felt disrespectful never treated way particularly trying good c
negative,disrespect cannot even begin explain issue woman literally yelled pulled
negative,happens isnt located
negative,want speak someone immediately shaking rage offered hate check bag derrick bussey treated
neutral,bag fee golf bag domestic flight
negative,okay u cancelled flight change flight good u cant logistically figure plane come time
negative,thanks asked change cost desition nade computer late flight
neutral,hi guy general enquires email address please thanks david
negative,actually cared would one thing sound like dont like told lousy service
negative,idiot kept time plane tarmac hour forcing u minute
negative,cust svc let slip previous cust svc lied supervisor amp corporate ph change tix thx
neutral,following
neutral,sorry didnt realize wasnt following
negative,please fix reservation phone system weatherbackup could possibly bad day goodgriefpeople
positive,made thanks help
positive,huge prop parizad checkin sacramento help friday get u home airline delayed
neutral,additional charge golf bag club shoe golf ball thats piece luggage check
negative,flight voucherconfirmation code enter checkout page flight booking problem pls help
negative,rock hit plane delay never easy day u airway ya never fail let
negative,fyi ill writing registered letter ceo line shameful treatment reaction got
negative,guy cancelled flightled two flight yesterday checked bag huntsville went missing philly
neutral,apply ur credit card automatically get companion certificate wait
negative,customer service failure aside one would think guy would care inaccurate manifest im sure tsa would
negative,find funny responds dont customer service worst wedontcarebecauseyoupaidalready
negative,get b guy door say door close minute back yet know fact people short
negative,flight rebooked want change seat upgrade st class help phone
negative,need speak customer service agent today pm unfortunate incident discrimination today
negative,slowest baggage claim ever
negative,dont blame weather rep counter cost entire day weather printed boarding pas late flight takeresponsibility
negative,late flight
negative,delay due refueling control thats true never want fly u airway
positive,shout diane eyw helping get u home today instead tomorrow even little late flight
positive,made huge relief thanks help
negative,getting u rest bag please received help
negative,im trying get dad wheelchair one answering dulleswe tried call back onmultiple time
neutral,boarded waiting take hopefully
positive,thanks hope maybe put good word
negative,u feb arrive hr late flight checked car seat missing replacement available yet arrive hour late flightr
negative,guy lost luggage
negative,u feb kim say leaving minute paperwork done wheel hour late flightr
negative,u feb hour plane u airway representative kim enters deteriorating picture unhelpful assurance
negative,thnk responseall flight full couldnt get tmrw cancelled flight go wother airline
negative,u feb ground power short third time weary german passenger deplanes make jealous auf wiedersehen
neutral,u refuel weve sat long pilot announces truck look left actual announcement
negative,thanks bag went wrong hour dca san weather issue acceptable
neutral,trying chg ticket staff member leaving org flywere nonprofitcant make exception
negative,speak human need find bag delayed website telling different thing got hung x
negative,u one water run planet smallest water bottle applaud looking environment
negative,u nope getting hour plane pilot announcement one water run planet smallest water bottle
neutral,u wait gate opened back go good maybe get
negative,u uh oh gate truck come u
negative,u returned gate get mel sticker oh look heard pilot clue mel sticker anyone
negative,spent hour phone got
negative,u lost ground power three different time grounded endlessly without air light entertainment
negative,u pilot started flight announcing arrival gatwick heathrow moment concern aboard
negative,u stated issue one around close said door strange hearing pilot long period
negative,seat flight last night worst seat ive ever leg room dividendsmember httptconuhplnxriq
negative,one worker rude u tell dm cuz wont good publicity
negative,u stated issue plane moving cargo door open plane umm ok little strange
negative,flight delayed missed connecting flight stuck philadelphia night hotel voucher thanks nothing
neutral,u stated issue kept plane ground allow connecting passenger flight board fine understand
negative,speak human compassion wrote email discus experience received generic sorry email back
negative,take look f seat filled someone upgraded friend instead following rule
negative,back line terminal phone guy couldnt help one person front min wait httptcohqhdadfvk
negative,understand im resorting twitter help available gate occurred phone afterward
negative,going miss connection due another tarmac delay u need flight home today please
negative,im expecting reimbursement unprofessional decision u feb check full complaint box
negative,whats deal flight dca phl boarded time left gate min late flight sat tarmac
negative,stranding student trying get birmingham clt overnight wo help better _duffy
negative,really need help asap please make quick thx
negative,well going help ivebeen hold hr amp client want ff nbr record he elite waa
negative,hi lost father wheelchair every time call get voicemail dad need go home please dm
negative,segment delayed gnv gt ctl ctl gt jan jan gt ctl ctl gt gnv year flying guy way go
negative,charging take flight lol last time fly
negative,yes say bag delivered local number say open asked main cust service got hung
negative,row flight today youre looking specific run home depot wd need
negative,seriously buy wd operating flight geg phoenix every seat squeak w every shift still ground
negative,would happily wait terminal near food restroom non irritated passenger
negative,let passenger board issue hour amp pilot doesnt know well leave
negative,anyone help still hold
negative,oh yay gate agent decide deal upgrade list bump whoever closest
negative,site show ontime flightaware site show delayed trying decide get ice catch flt phx
negative,absolute worst airline woman inconvenienced due maintenance issue stuck care given
negative,flight amp customer relation extremely disappointing faced many problem type apology towards flight joke
negative,sitting phl rude customer service agent
negative,flight get paperwork inputted taken hour sittingontheplane hungry
negative,hold customer care wonder someone pick phone pm
negative,flt get gate den minute waiting information
negative,lot fun removed top list manually readded bottom thanks club agent thanks lot asha dca
negative,delayed flight wilmington made miss flight charlotte figure take arrive time
positive,wow unbelievable treat customer puerto rico airport
negative,usually sorry doesnt involve moving people middle seat removing upgrade list guess thats club perk
negative,dont worry used initiative arriving much earlier planned
negative,nice try gate making traveler traveler put bag size guide oversold sorry minefits
negative,horrible service wrong plane arrived many confirmed passenger could get flight paid due lack seat flight
neutral,trying book award travel leaving redeye sunday night midnight book date sunday monday
negative,booked flight mnth ago seat confirmed small plane arrived allowed board bcs seat horrible service
negative,frustrated checked bag logan given luggage ticketnow luggage lost amp ownership
positive,breathing heavily super helpful thank
negative,aye nothing automated system doesnt work properly anyway got somebody
positive,okay great thank
negative,rebooked connection delayed
negative,meeting california luggage
negative,number agent gave call say open main number go computer saying delivered
negative,way get call center answer oneworld award whenever try system say busy disconnect endless hold
negative,put luggage plane mine deliver like said show claim closed online
negative,take money requires day process refund auto attendant hang usairwaysfail
negative,long reply
neutral,bag policy say stroller car seat need bring car seat stroller call detail
positive,customer service like never seen kudos organization
negative,intentionally buy flight hour layover kind airline would charge fix wow usairways
negative,get hold customer service ive called multiple time amp hold min hang
negative,time bracket call fix problemive attempting fix contact information issue day
negative,called number said one available take callguys insane
negative,cant book flight online phone customer service usually great anything help
negative,worst experience ive ever flying rude delay cancelled flightlations lack update wasting time
neutral,contact via fb message twitter dm text
negative,called x amp say high call volume call back minute international call way someone contact
negative,grrrrrrrr couldnt book flight via calling either
negative,delayed connection missed extended layover lounge pas phl
negative,another twist plot took miami return due unsecured cargo door stressful vacation ever
negative,reaching hardworking mom trying best
neutral,great operation guy running mechanical issue taping piece plane together lol httptcoivwfbtue
neutral,thanks idea resolved id like purchase ticket
neutral,hi attach aa ff lxa reservation ekvm thansk
negative,check online state status closed mean yet able reach live person
negative,system affected weather
positive,called able get rescheduled thank quick response today
negative,get aa frequent flyer number appear usair reservation frustrating
negative,im unable check flight bosdca havent heard flight cancelled flightedrescheduled update
negative,dont forget without customer would business epicfail usairwaysfail
neutral,hi guy flight still time site app cant check thanks
negative,hey since fed wknd day pas admiral club meal coupon free coke blank stare
negative,make reservation well make excuse usairwaysfail
negative,listed baggage claim number call number ticket use lady speed stick morning
negative,another dead end handle aa lampf gave failed already vm full lost
negative,houston gate customer service need treat people respect hardly people waiting chillpill usairwaysfail
positive,phone called number picked almost immediately
neutral,yes made flight got workout
positive,amp dfw psp thank
positive,thanks
negative,whats going website amp mobile app help
negative,submitted customer relation form await response
negative,height rudeness without question worst customer service ever experienced
negative,need speak somebody reservation talk human yet computer system put phone
neutral,pick phone
negative,premier provider missed connection usairwaysfail
negative,im sure people working hard system assist ivr prompting offering call back hold wait time
negative,thanks subpar travel experience even yet stepitup
positive,fyi customer service rep carol absolute delight pleasant rebooked lightning speed thanks
negative,struggling hold minute kicked back start said couldnt handle amount call
negative,call
negative,told call back late flightr
negative,cancelled flighting u airway credit card choosing airline experience week
neutral,thank say website
negative,cant make airport road bad dfw one answering phone website downhow reschedule
negative,pilot pleads let boarding begin full flight waiting th flight attendant denied mission control grrrr
negative,website isnt working cant talk phone check flight status dfw road awful cant get
negative,rebooked tuesday arriving late flight tuesday start class cancelled flightled trip
negative,flight going cancelled flightled every week might well business class
negative,dcabos cancelled flightled making u wait hour fly usair every week upgrade status proactively
positive,dominick l la guardia airport nyc give absolute best customer service thanku checking made easy
negative,congrats treating customer worst way possible know plenty ppl horrible experience w
negative,going manchester uk im going miss wedding going rebook chosen cancelled flight flight
negative,dm take offline would love info location lost bag help appreciated
negative,thanx isnt first rodeo done amp done yesterday result comm unless u count status bag lost amp claim filed
negative,give u air philly talk real person acarlcom
negative,would nice offered flight credit especially since im staring empty overhead room
negative,power outlet seat youre gonna keep u siting forever
negative,would appreciate call regarding horrible experience gate agent hold min hung
neutral,understand im attempting change information identical tell call
negative,going flight phl phx min estimated departure nobody board update
negative,bag still missing
negative,seriously doubt still sitting inside gate
negative,customer service dead last wk flts delayedcancelled flighted bag lost day last nt flt delayedcancelled flighted meal voucher
negative,flight u ricdfw cancelled flightled yesterday amp hold w cust service pm est hour answer
neutral,taking dont private jet bora bora time land im calling oprah
negative,call number listed sure next friday get real live person line httptcotjuumdd
negative,thanks cancelled flighting flight today missing required training happy customer
negative,strike three guy suck
negative,day row buying suggest review policy w respect unaccompanied minor seat sun
negative,ok app doesnt seem working use mobile site httptcoklfywwmq
negative,wife flew italy recently bought ticket via finnair flight operated usair didnt get dividend mile credited
negative,hour delay phomia airline bad getting worse foolish american merge treat customer like crap
negative,hour late flightr still email work supervisor need documentation approve last minute vacation day request
negative,hour hold got rebooked new flight yesterday asked new itineraryconfirmation email sent
negative,here sitting hold hr flight cancelled flighted disconnect twice fendurself stranded diverted
negative,cancelled flight flight tampa philadelphia today due runway condition yet tonne usairways flight landing today explain
negative,phone system working bumped time need get mco
negative,flight plan delayed tuesday due computer crash
negative,phl bgm cannot believe happened x two week
negative,maam door close min prior departure min laughter agent
negative,plane left agent door closed early
negative,called time redeem mile point cant get advertise mile make hard use
negative,arriving flight scheduled depart door closed agent
negative,need speak live person ive recording told sat wed luggage yest
positive,thanks information
neutral,need move reservation due weather middle part u would like change departing airport
positive,couldnt thankful orf dca crew ground air today help sick kid lost bag
negative,thx delayed checkin noon flt mia forcing take late flightr flts delayed cincy miami hr fast
negative,getting extremely frustrated w phoneonline service merging frequent flyer mile
negative,already spent min today handling minor child shame treating year old girl like
neutral,someone help travel issue today
negative,first pilot late flight maintenance exactly happened two week ago unacceptable
neutral,nothing usair cc point email stated would charged thanks reply
negative,never fly u airway american share nightmare story many others know fly
negative,never treated poorly airline life military family alot flying
negative,burned lot time cell minute working flight issue hopefully fly home morning
negative,would rather plane get exposed nasty contagious virus work wth get flight changed late flightr date
neutral,amp weight restriction carry luggage find measurement weight restriction tia
negative,worked bought rental car failed get location paid get
negative,ive hold minute counting unacceptable
negative,discovered flight cancelled flightled yesterday pm finally notified u flight cancelled flighted
negative,appalled departure messed return supposed fly alone two sick kid
negative,tweet day get live cust rep make sure world know dont care customer health
positive,thank
neutral,called say runway clearing problem thing
negative,decided good sport give guy another shot flight delayed
negative,hold hour yesterday wo speaking agent hold w phone min let bashing begin
neutral,flight dfw cancelled flightled today
neutral,add ktn existing reservation
negative,please fix unproductive check process check station people working total mess
negative,
neutral,im supposed fly dallas help get new itinerary
positive,clt baggage crew deserves kudos run make connection bag still made customerservice
positive,thanks
negative,denied mom flight needed breast pumping part full flight please fix asap freeflight
negative,relied u airway mistake awful customer experience
negative,thank website crashing
negative,hold hr flight cancelled flightled amp anthony beyond rude helpful theyre weighing
negative,nightmare ever end found flight today delayed due ground handling delay affecting prior flight
positive,alright please give scott f bdl bonus excellent customer service
negative,youve got get weve got excuse usairwaysfail
neutral,im referring email like tell people get upgrade otherwise know already httptconuvclmada
negative,first luggage got stuck different city get back today amp one employee stole pair glove
neutral,reserved flight companion certificate mail certificate verification thx
neutral,flight schedule quintana roo mexico reflect newly adopted time zone change est
negative,sure know pamper customer strand abroad badcustomerservice fendyourself youareonyourown httptcopweudlczg
neutral,maybe drive usairwaysfail
negative,suck pas saving u usairwaysfail
neutral,thank apology
negative,help refund phone guy couldnt help website wont let submit reply
negative,take late flight whole new level
positive,thank elaborate response
negative,guy screwing trip thanks nothing lazy
neutral,refund system
negative,seriously ridiculous shouldnt wait hour luggage land wtf
neutral,thats case sent email link ill show httptcohbccot
negative,waiting min far luggage wannagohome
negative,time tweet tell horrible youre attendant flight lga feel jail
negative,hello anyone
negative,forced section check carry would packed differently check bag even allow pissed
negative,raleigh chicago firstclass upgrade must flying aa screw usair elite bailed airline
negative,flt hr late flight baggage hr see delivered suitcase wet inside amp nothappy
negative,get hotel ur agent nothing help top sent luggage wrong flight
negative,take late flightr flight booked corporate disney travel dept agent offered little help
negative,computer system went ok understandable agent make worse helping anyone else
negative,employee responsible social medium content yes u probably care however action last night say otherwise
negative,flight get minute early goodwill gone bag arent minute late flightr
negative,wow awful customer service
negative,merging american negatively affect quality integrity longer fly
negative,many agent working handle thousand call
positive,best amazing follow please
negative,flight delayed miss connecting flight please help alternate thank
neutral,thank asking
negative,three hour wait counting waiting reservation phone serious
positive,happy note crew wonderful cant say enough great thing pilot he u
negative,mess caused computer system flight hour late flight gate u est min wait
negative,storm storm customer service joke hour wait time speak someone never fly airline
negative,guy luggage san jose supposed deliver hotel hour ago please contact
negative,ive flown figured worth mile lifetime first last ever flight u airway
negative,pls get back tallahassee one ever stranded gainesville long
negative,miserable airline loss revenue reflection go extinct merger delay inevitable
negative,point merger go business turning profit anymore
negative,love give feedback link fill personal info form guy best
negative,finally got ahold agent another hour thanks follow recommend call back feature
negative,ringling brother barnum bailey keep eye peeled clown car
negative,mention fact flight delayed computer
negative,cannot add frequent flyer number website help
negative,get plane wait hour half speak someone reflight booking problem
negative,please dont trivialize joke slow day slow experience
negative,agent phx customer service desk hour ago line people long
negative,sorry doesnt help midnight pst hell still hold minute customer service line
negative,like thought america u airway start operating rule communist russia
negative,guy nice give route jet blue southwest least treat customer properly
negative,nope apparently way guy business guess im flying southwest blue
negative,keep thinking massive practical joke someone gonna appear thin air take reno tonight
negative,there people line one agent
negative,way im planning ive ben waiting line customer service phxfor hour
negative,already planning local boycott washington dc area
negative,legitimately say would rather driven cross country flown u airway
negative,despite fact see answering people twitter mundane q refuse answer
negative,guy worst airline ive ever dealt notification keeping customer updated terrible service
negative,hey guy thanks answering thanks keeping hold hour customer service pm pst
neutral,progress good luck patrick
positive,he fine really like picking seat
negative,worst airline ever travel
negative,lazy inconsiderate unprofessional airline ever traveled
negative,pride service concern wife everyone else flight dont care
negative,u horrible people say sleep
negative,who charge company wife missed connection ca sent luggage another flight
negative,call hung
negative,got message site call flight gave hold hour httptcocdxroae
negative,usairways lost passenger today upholding promise excellent customer service
negative,yet staff philadelphia failed send luggage home alwayshappensthere angrytraveler
negative,ok th try todaygiving minute hold time terrible httptcopsqrpsil
negative,number email thats purpose sending tweet
positive,thank ill next time
negative,still say cant check flight information incorrect everything entered correctly
negative,say estimated leave hour ago hasnt left yet thanks useful information theworstairline
negative,customer service horrendous way employee speak customer lack care problem flight
negative,mom sit hour waiting flight ultimately cancelled flighted give tuesday morning flightno compensation ugh
negative,anyone airline know job
negative,worst airline time
negative,denied standby bc checked bag cvg phl take delayed hr late flightrexcept u lost bag cvg
negative,reminded today fly
positive,look like bag rescued thanks
negative,ive trying get book reservation system let day ridiculous
negative,worst
negative,making folk run gate c b explanation zero cart transfer elderly handicap phl
negative,waiting airplane total hour take flight todaythis usually doesnt happen
negative,given option new flight cant get plane phlmia year eventprof worst travel experience ever
negative,doesnt let u stand flight due checked bag causing u get hour late flightr get phl amp bag didnt make
neutral,arent merged marketing department would u believe maybe get home
negative,absolutely worst experience life phl hr failed departure gate zero communication help
negative,soon call customer service speak representative disconnected
negative,trying call customer service since pm hour disconnected spoke one
negative,give u information attitude
neutral,looking help recover item left airplane evening
negative,attendant gate enjoyed watching flight destination take horrible attendant give u
negative,stranded miami without updating departure board cancelled flightled flight
negative,absolutely terrible managing delay delayed undelayed delayed time office hour
negative,rude unreliable horrible company equally rude unreliable horrible employee stay tuned
negative,phl take hour offload bag especially taking min get jetway get plane landing
negative,flight philly gt mia bwahahaha delayed hr air min turned back around usairwaysfail
negative,im tired paying luggage amp less stellar customer service notafanofyourmerger
negative,heard debacle dca happening new orleans flight wewanttoknow
negative,think little weak sauce zero inflight entertainment hour flight salt lake philadelphia
negative,flew good weather landed another technical issue gate improve service lose customer
negative,stranding customer reflight booking problem answering phone way treat platinum member
negative,made reservation online didnt receive confirmation email bank said transaction went u help
negative,worst flying experience life flight scheduled departure pm phl hr late flightr guess
neutral,issued memphis travel advisory tomorrow winter weather coming
negative,update flightits three hour delayed thank
negative,partner w different hotel phl clarion proving difficult amp customer friendly
negative,truly dissapointed flight delayed going miss connection expected rebook flight
negative,kind screwed day least outbound save stranding
negative,nightmare trying get costa rica phl today stuck miami one answer number
negative,ummmm think u air computer hour flight hour late flight
negative,comedy error continues cant get gate broken truck way fail
negative,instruction say call im said
positive,since loyal usair customer sure make meright want get home amp back work
negative,fact get notified hindered ability look alternate flight snapped
negative,youre really fudgin delay justwantmybed
negative,discovered billed u rescheduled flight cost second day lost work
negative,today usair cancelled flightled rescheduled flight amp notify u except possibly home phonenot helpful since co
negative,cant get phone
negative,thanks ruining last night vacation worry flight yall dont record
positive,janet amp denphl flight cancelled flightled saturday usair rescheduled automatically amp notified u email additional cost
negative,hr trying reach real human finally hold hr synch reservation
negative,idiot took plane amp gave someone else fudgers flight philly orlando
negative,missed flight rude csr flight till tuesday answer twitter help youre hope
negative,delayed hour trying get give u update please
negative,always nice customer service manager threatens customer standing understaffed line last hour
negative,passed hour mark onholdwith call gave morning
negative,lost amp found wife lost phone philly amp followed web instruction call answer
neutral,help seat assignment people flight phx hnl seat split anything great
neutral,followdm please
negative,dinner reservation minute ive trying get since breakfast onholdwith
negative,clt please send one cust svc rep cust svc counter assist line door httptcovqnpdoi
negative,help ive hold almost two hour trying get home
negative,please call late flightr acceptable neither hold hr onholdwith
negative,sitting gate min u give
negative,wouldnt need wait hold hour website worked correctly please respond
negative,get answer question holding hour x getting message said arent taking call
negative,hell overbook plane knew people actually seat assignment inept uncaring piss poorplanning
negative,worst service reagan int rarely post company service annoyed weather relate flightdincompetence
negative,hold hour getting hour hold morning answer help
negative,farmy phone wait time longer oscar coverage whatcustomerservice
negative,chairman preferred lifetime mile u air reward firstclass upgrade usual
neutral,flight operated nma arrives following flight reagan national httptcooscoflol
negative,minute delay take minute wait checked bag really
negative,ive hold minute terrible customer service messed reservation httptcooylgeaoy
negative,wont help get luggage back im teen trying change world dc flight usairways
negative,southern hospitality luggage delivery service sav awful great delivering empty promise luggage hrsampwaiting
negative,st flight u air plane mechanical issue wait minute help customer service help management
negative,flight missed due mech issue food voucher transported different airport rental reimbursement
negative,dont control stupidity room plane come better mess u
negative,interesting forward compliment never complaint world worst airline goingforgreatnessfail
negative,flight delayed crew availability give im getting tpa hr past scheduled arrival
negative,airport dca airline mess flight also cover hotel cost dca hr
negative,line min mechanical issue caused miss flight rep upset people httptcoxfwxsrwkha
positive,entire flight crew flight bos phl wonderful job making experience totally suck
negative,someone please answer call waaaaaaiting
negative,holding luggage hostage flight
positive,major issue getting boston crew exceptional let see thing roll philly
negative,ive trying set phone interview day hoping position wont filled link doesnt work
neutral,email
negative,call find rebooked tomorrow ask number email day info
negative,u airway dont care customer worst experience today u airway wife toddler
positive,thanks whole team ontime flight despite inclement weather httptcoeqepkkpsxm
negative,rude staff said dont care market place food youre going vacation work nice huh
neutral,happens frequent flyer mile earned merger complete aa
negative,got stand list earlier flight dca status checked bag supposed thanks
negative,flight keep getting delayed late flightr late flightr
neutral,idea flight miami leave second time
negative,contacted got automated response wont give code
neutral,yea give cent dollar
negative,really letter say discus serving drunk drink doesnt help current situation
positive,great thank
negative,mean might care sister assaulted one flight
negative,top dozen ppl missed connection one person customer service abysmal
positive,often airline easy work needed change flight time attendant mke made day
negative,possible someone drunk bring wheelchair keep serving
negative,service phl abysmal hour runway waiting gate information anywhere missed connection abysmal
negative,worst customer service ever let people assaulted flight nothing
negative,providing pilot flight new feature merger efficencies
neutral,know flight pilot coming thanks
negative,guess ok people sexually assaulted flight nice customer service
negative,please help need plane wait go elmira tarmac hr baggage took still thru custom
negative,usair returned phl due issue fire detector happens next
negative,ur specialist said would talk stewardess serving drunk drink really help
negative,wrong boston plain leaving tonight son need get back state college pa
negative,two hour hold talk agentthen disconnect trying two day wtf hire csrs u make
negative,dont pilot clt ord least another hour earth would board plane make sense
negative,flight please get u flight plan already issue st century
negative,fail inbound flight arrives scheduled outbound departure still time httptcokmhzrjfe
negative,thanks three cancelled flightled flight making u go raleigh charlote lexington philly istead raleigh philly
negative,rant cont top rescheduled flight tpa already delayed bad
negative,advise whats happening departure delay clt
neutral,provide info checking stroller car seat cost restriction need bring seat stroller
negative,delay mechanical issue weekend flight ridiculous tweet long delayed
positive,another great flight funflightattendants thanks showing dad wonderful customer service flt lax phx sundayfunday
negative,happening sitting philly hour pls take care flight chicago least least u know solate flight
negative,pm w answer flt still time ground hr w gate need help pls
negative,plane scheduled come time actually happen bozo dont room u incompetent
negative,reason avoid like plague glad see merger working well dumb
negative,word accommodation passenger u arrive charlotte lot tired passenger
positive,thank couple easy hassle free flight today professional friendly staff made everything easy
negative,hire smarter people system keep crashing instead mooks man airport godelta
negative,flight keep telling min take hour first time best lie brokenpromises
negative,wrong guy inability get plane philly time pilot gave u answer b
negative,guy worst flying philadelphia two jetways available time planepisspoor
neutral,received two reservation checkins two different flight one flight tomorrow morning need assistance asap
negative,wheres luggage waiting hour flight
neutral,cancelled flightled last part ticket confused email received whether value remains someone ask
negative,suck philadelphia let u plane phl
negative,pissing thousand east coast customer delay longer flight fail
neutral,please people hold flight phoenix san jose pulling gate scheduled depart
negative,hour counting kind travel voucher get
negative,weve waiting gate hr waiting stow luggage
negative,thats h waiting get bag hm flight delay plus hr delay way never flying
negative,stuck florida flight service suck nofood nodrinks nohelp
negative,cant gate agent flight provide update seriously ridiculous long people waiting
negative,ivr hung high call volume need help call
negative,tweeted apology enough delay fiasco none insult gate agent worse except mark n bad clt
neutral,sorry philly shouldve told
negative,pilot flight didnt show departure amp there broken computer next time flying alwayslate flight
neutral,pilot say going take minute maybe system came back online
negative,flt elm still gate still make thru custom
negative,according costumer support website holding money hostage cant anything
negative,way tell gate going stuck tarmack intl flt flt going elm gate f
negative,suck delayed mom flight x cancelled flightled delayed flight todayall mech issuesshe sleep airport
negative,routing system go ground long haul flight think failover plan
negative,didnt give wifi password smh
negative,sitting gate flight hour due computer backup plan place
negative,cancelled flightled need locate baggage
negative,need help locating bag arrived denver last night midnight charlotte flight haydensteamboat
neutral,phltoslc happening
negative,going computer flight grounded airline suck much unansweredquestions
negative,hr late flightr finally taking
negative,holding passenger hostage computer crash customer friendly let u plane get u moving
negative,hold hour
negative,pilot tell u airway flight across country stopped due computer system failure
negative,flt landed half hour ago single bag yet baggage claim hate much right
negative,one please answer phone
negative,word delay reason twitter aflame flight tracking computer crash rumor true
negative,stuck gate charlotte nc waiting release paper fix broken computer system
negative,sitting gate flight hour due sabre backup plan place sabre cannot fixed
negative,cancelled flightling dont want put u hotel night guess
neutral,get beer please flight
negative,really hr delay virgin island even food voucher
negative,worst ever dca customerservice
negative,nd february row stranded u try return cancun contact info way rebook badcustomerservice
negative,printer problem causing u sit runway min get together
negative,nothing like back back delayed flight let hope one isnt hour like last time
negative,please help find luggage since youre one lost customer service suck
negative,happening reagan airport dca long line four people working checkin unhappy dca
negative,check bag bag handler broke suitcase stole camera bag returned trash bag
negative,hopefully crappy service improves u become angryairtravel winterstorm
negative,people working counter dca massive line poorly played winterstorm
neutral,whats going clt
negative,lost bag land hartford p tonight delivered danbury ct tonight
neutral,idea geek plug server way phx
negative,contact awful experience flight bufclt
negative,nvm bad hour half thanks
negative,crappy flight due delay rude staff member im happy report paying check luggage ruined
negative,always letting
positive,please keep emily gso airport ticketing staff amazing
negative,dont understand cant get missing mile flight dividend mile account help
negative,cant seem find pilot pm flight never seen anything like drunkpilots httptcozirazudc
negative,really meal voucher hour flight delay virgin island
negative,automated message say line busy join queue stuckintheloop
negative,hi suggested contacted u via phone sent mail original ticket amp result httptcoirtih
negative,stuck ramp dca u air computer system crashedeverywhere
negative,flight flight hell
negative,gave hour hold still need receipt last time promised never arrived help
negative,prepared claim bag lost many valuable carry hand u aa
negative,told deserved delayed booked last flight hear inconvience missing flight
neutral,update computer outtage affecting flight national northeast eta resolution
negative,flight worst experience weve ever flight regretting opening air mile card hotterandlongerthanhell
negative,hello never received confirmation code flight though confirmedso say automated reply idea
negative,hour phone waiting call back find luggage shameonyou
negative,whats going ive sitting gate minute
negative,am phl today flight attendant downright rude hostile made hour flight even worse
negative,hell put u hotel youve stranded u message say mechanical issue weather usairways
neutral,wife left phone flight awe friday february th upon landing minneapolis get back thanks
negative,whats deal flight computer network
negative,anyone actually work dividend mile department httptcobgtjfmneot
negative,flight philly system wide tech issue
negative,huge system problem dcamanual check flight boarded sitting gate due system issue frustrated chairman member
negative,epic fail clt ystrdy wcancelled flightled flight staff communication amp refund unused portion tix keep classy guy
negative,tryng rsrv flight phone past day keep getting automated message call back
negative,got int flight intentionally rude staff made horrible hr flight unsuitable plane
negative,plane bos clt min still gate crew say systemwide computer preventing paperwork info give
negative,hold today connecting passenger coming delayed flight
positive,provided best service today thank much
negative,guy please give update sitting tarmac flight yet website still say time
negative,flight cancelled flightled buf today waited line hr amp cu service rude flight tues need get roc
negative,seriously keep trying seven hour corporate policy usairwaysfail
negative,name rett cavan gofundme page going take last breath tonight airline care money
negative,would let u switch different set flight could spend time family pass away
negative,month old suffering rare form cancer customer service agent compassion disgusted
negative,best part hearing attendant give voucher person next hotel bgr guy saying dont
negative,horrible cust service exp dia today wife waited hr plane bf flight cancelled flightled still waiting bag
negative,really good deferring responsibility
negative,thank much asking u pay switch different flight could spend time dying nephew
negative,could worse airline experience rude unhelpful got yelled need help
negative,please help bag way get customer service since morning help
negative,real staff behave offensively flight please look message want particular
neutral,glad people put coat storage area though would super unfortunate leave floor
negative,lax connect term term min layover due delay usaa realistic held
neutral,good luck getting cool
negative,left item plane bosphl friday ive called phl u airway amp left msg return call point
negative,great way kick someone cancelled flight noon flight rebook one two hour south tomorrow
negative,thanks making check bag space empty flight attendant dirty look httptcorxhomm
negative,apparently computer crashed bwi update flight moving
negative,made bahamas work luggage didnt know travel happens anyway get helpinfo
negative,hr late flightr still home hotel rental car etc yr old happened customer service first priority
neutral,saw online fee wondering way pay ahead time instead kiosk
negative,cancelled flight flight ny time make decided sampgs theyll cancelled flight return flight thanks
neutral,yall need get together
negative,hold gt min rd attempt get receipt showing change fee upcoming flight please help
negative,everyone flight lax rdu enjoyed waiting hour amp half baggage claim bag
neutral,need corporate office number please dealing number
negative,cstsvc phl honor ur system reality rcd change hpn extra hour phl get cle
negative,usairways raleigh nc baggage carousel staff aggressive towards people waiting hr bag flight
neutral,flight delayed time arrive bhm
negative,hold hour book using take flight voucher online
negative,get baggage la rdu httptcovulbzxtrx
negative,worst customer service flight always delayed
negative,going make wait phone long time least turn ad eating away soul
positive,despite mechanical issue many delay followed cancelled flightlation still getting vega thanks great gate agent
negative,u airline la rdu holding onto baggage hour already everyone still waiting
negative,weve learned never fly u youve lost customer group hundred company
negative,spoke rep nh pa poor communication bag still sitting philly train staff
